,humidity,temp,timestamp
458,57.00,19.90,2023-04-30 01:10:04.348341
3519,57.00,19.89,2023-04-30 01:15:03.799510
1672,57.00,19.87,2023-04-30 01:20:04.300354
546,57.00,20.00,2023-04-30 01:25:03.754196
1927,57.00,19.87,2023-04-30 01:30:04.186023
71,57.00,19.92,2023-04-30 01:35:04.607490
581,57.00,19.95,2023-04-30 01:40:04.118888
845,57.00,19.90,2023-04-30 01:45:04.568740
1121,57.00,19.96,2023-04-30 01:50:04.060476
3770,57.00,19.83,2023-04-30 01:55:04.514760
1722,57.00,19.90,2023-04-30 02:00:03.994906
3789,57.00,19.78,2023-04-30 02:05:04.433806
2243,57.00,19.95,2023-04-30 02:10:03.922080
786,57.00,19.90,2023-04-30 02:15:04.353792
4024,57.00,19.87,2023-04-30 02:20:03.853575
141,57.00,19.92,2023-04-30 02:25:04.317205
3973,57.00,19.86,2023-04-30 02:30:03.794231
663,57.00,19.93,2023-04-30 02:35:04.259180
1420,57.00,19.93,2023-04-30 02:40:03.722448
871,57.00,19.79,2023-04-30 02:45:04.204662
3096,57.00,19.82,2023-04-30 02:50:04.708448
37,57.00,19.90,2023-04-30 02:55:04.207912
282,57.00,19.87,2023-04-30 03:00:04.686716
3970,57.00,19.79,2023-04-30 03:05:04.161470
508,57.00,19.78,2023-04-30 03:10:04.659926
3968,57.00,19.80,2023-04-30 03:15:04.198704
2106,57.00,19.80,2023-04-30 03:20:03.741653
2556,57.00,19.76,2023-04-30 03:25:04.203297
2064,57.00,19.80,2023-04-30 03:30:04.643605
3179,57.00,19.83,2023-04-30 03:35:04.115409
3564,57.00,19.85,2023-04-30 03:40:04.625257
2897,57.00,19.80,2023-04-30 03:45:04.062127
44,57.00,19.75,2023-04-30 03:50:04.539427
103,57.00,19.80,2023-04-30 03:55:03.984921
671,57.00,19.73,2023-04-30 04:00:04.466125
173,57.00,19.76,2023-04-30 04:05:03.904816
2144,57.00,19.80,2023-04-30 04:10:04.390087
759,57.00,19.83,2023-04-30 04:15:03.824403
