,humidity,temperature,timestamp
701,54.18,20.24,2023-05-06 05:40:00
702,54.56,20.12,2023-05-06 06:20:00
703,54.61,20.13,2023-05-06 06:30:00
704,54.79,20.01,2023-05-06 06:40:00
705,54.8,20.09,2023-05-06 06:50:00
706,55.01,20.03,2023-05-06 07:10:00
707,55.31,20.06,2023-05-06 07:20:00
708,55.34,20.15,2023-05-06 07:30:00
709,55.79,20.3,2023-05-06 08:40:00
710,56.82,20.24,2023-05-06 09:20:00
711,57.06,20.31,2023-05-06 09:30:00
712,57.49,20.27,2023-05-06 09:50:00
713,58.73,20.36,2023-05-06 10:10:00
714,59.01,20.43,2023-05-06 10:40:00
715,60.86,20.37,2023-05-06 10:50:00
716,60.58,20.33,2023-05-06 11:00:00
717,59.34,20.3,2023-05-06 11:30:00
718,59.7,20.31,2023-05-06 11:40:00
719,59.85,20.34,2023-05-06 12:20:00
720,60.11,20.33,2023-05-06 12:30:00
721,60.75,20.44,2023-05-06 13:30:00
722,60.59,20.41,2023-05-06 14:20:00
723,60.79,20.4,2023-05-06 14:50:00
724,60.74,20.43,2023-05-06 15:00:00
725,55.14,20.09,2023-05-06 15:10:00
726,54.68,20.01,2023-05-06 15:20:00
727,57.0,19.9,2023-05-06 15:30:00
728,53.87,19.89,2023-05-06 15:40:00
729,60.68,20.27,2023-05-06 16:50:00
730,60.77,20.33,2023-05-06 17:00:00
731,61.15,20.31,2023-05-06 17:20:00
732,61.31,20.27,2023-05-06 17:30:00
733,61.59,20.24,2023-05-06 17:50:00
734,61.68,20.27,2023-05-06 18:00:00
735,61.69,20.28,2023-05-06 18:20:00
736,61.68,20.19,2023-05-06 18:30:00
737,61.78,20.26,2023-05-06 18:40:00
738,61.93,20.23,2023-05-06 19:00:00
739,62.67,20.33,2023-05-06 19:30:00
740,62.52,20.33,2023-05-06 19:40:00
741,63.09,20.28,2023-05-06 20:00:00
742,62.84,20.3,2023-05-06 20:20:00
743,62.83,20.2,2023-05-06 20:30:00
744,62.39,20.23,2023-05-06 21:10:00
745,62.2,20.26,2023-05-06 21:50:00
746,62.03,20.07,2023-05-06 22:10:00
747,61.92,20.22,2023-05-06 22:30:00
748,61.9,20.17,2023-05-06 22:50:00
749,61.85,20.16,2023-05-06 23:00:00
750,61.76,20.1,2023-05-06 23:20:00
751,61.67,20.19,2023-05-06 23:30:00
752,61.49,20.24,2023-05-07 00:00:00
753,61.15,20.36,2023-05-07 00:50:00
754,61.14,20.31,2023-05-07 01:00:00
755,60.92,20.27,2023-05-07 01:10:00
756,60.94,20.26,2023-05-07 01:20:00
757,60.8,20.28,2023-05-07 01:30:00
